#CHR	START	END	SAMPLE	cn_normal	u_normal	cn_clone1	u_clone1	cn_clone2	u_clone2
chr1	1	2623307	bulk_08clone0_0clone1_02normal	1|1	0.197846	2|1	0	2|1	0.802154
chr1	1	2623307	bulk_0clone0_05clone1_05normal	1|1	0.498706	2|1	0.501294	2|1	0
chr1	2623307	2628765	bulk_08clone0_0clone1_02normal	1|1	0.197846	2|2	0	2|2	0.802154
chr1	2623307	2628765	bulk_0clone0_05clone1_05normal	1|1	0.498706	2|2	0.501294	2|2	0
chr1	2628765	66497025	bulk_08clone0_0clone1_02normal	1|1	0.197846	2|1	0	2|1	0.802154
chr1	2628765	66497025	bulk_0clone0_05clone1_05normal	1|1	0.498706	2|1	0.501294	2|1	0
chr1	66497025	66571695	bulk_08clone0_0clone1_02normal	1|1	0.197846	2|2	0	2|2	0.802154
chr1	66497025	66571695	bulk_0clone0_05clone1_05normal	1|1	0.498706	2|2	0.501294	2|2	0
chr1	66571695	74603851	bulk_08clone0_0clone1_02normal	1|1	0.197846	2|0	0	2|0	0.802154
chr1	66571695	74603851	bulk_0clone0_05clone1_05normal	1|1	0.498706	2|0	0.501294	2|0	0
chr1	74603851	74824417	bulk_08clone0_0clone1_02normal	1|1	0.197846	2|2	0	2|2	0.802154
chr1	74603851	74824417	bulk_0clone0_05clone1_05normal	1|1	0.498706	2|2	0.501294	2|2	0
chr1	74824417	75667521	bulk_08clone0_0clone1_02normal	1|1	0.197846	2|1	0	2|1	0.802154
chr1	74824417	75667521	bulk_0clone0_05clone1_05normal	1|1	0.498706	2|1	0.501294	2|1	0
chr1	75667521	75722889	bulk_08clone0_0clone1_02normal	1|1	0.197846	2|2	0	2|2	0.802154
chr1	75667521	75722889	bulk_0clone0_05clone1_05normal	1|1	0.498706	2|2	0.501294	2|2	0
chr1	75722889	116897512	bulk_08clone0_0clone1_02normal	1|1	0.197846	3|2	0	3|2	0.802154
chr1	75722889	116897512	bulk_0clone0_05clone1_05normal	1|1	0.498706	3|2	0.501294	3|2	0
chr1	116897512	116957100	bulk_08clone0_0clone1_02normal	1|1	0.197846	2|2	0	2|2	0.802154
chr1	116897512	116957100	bulk_0clone0_05clone1_05normal	1|1	0.498706	2|2	0.501294	2|2	0
chr1	116957100	121500001	bulk_08clone0_0clone1_02normal	1|1	0.197846	2|1	0	2|1	0.802154
chr1	116957100	121500001	bulk_0clone0_05clone1_05normal	1|1	0.498706	2|1	0.501294	2|1	0
chr1	128900000	171025956	bulk_08clone0_0clone1_02normal	1|1	0.197846	1|2	0	2|1	0.802154
chr1	128900000	171025956	bulk_0clone0_05clone1_05normal	1|1	0.498706	1|2	0.501294	2|1	0
chr1	171025956	233425108	bulk_08clone0_0clone1_02normal	1|1	0.197846	2|1	0	2|1	0.802154
chr1	171025956	233425108	bulk_0clone0_05clone1_05normal	1|1	0.498706	2|1	0.501294	2|1	0
chr1	233425108	249250622	bulk_08clone0_0clone1_02normal	1|1	0.197846	2|0	0	3|1	0.802154
chr1	233425108	249250622	bulk_0clone0_05clone1_05normal	1|1	0.498706	2|0	0.501294	3|1	0
chr10	1	2696372	bulk_08clone0_0clone1_02normal	1|1	0.197846	2|0	0	3|0	0.802154
chr10	1	2696372	bulk_0clone0_05clone1_05normal	1|1	0.498706	2|0	0.501294	3|0	0
chr10	2696372	2758221	bulk_08clone0_0clone1_02normal	1|1	0.197846	2|2	0	2|2	0.802154
chr10	2696372	2758221	bulk_0clone0_05clone1_05normal	1|1	0.498706	2|2	0.501294	2|2	0
chr10	2758221	3138847	bulk_08clone0_0clone1_02normal	1|1	0.197846	0|2	0	2|0	0.802154
chr10	2758221	3138847	bulk_0clone0_05clone1_05normal	1|1	0.498706	0|2	0.501294	2|0	0
chr10	3138847	3142508	bulk_08clone0_0clone1_02normal	1|1	0.197846	2|2	0	2|2	0.802154
chr10	3138847	3142508	bulk_0clone0_05clone1_05normal	1|1	0.498706	2|2	0.501294	2|2	0
