#CHR	START	END	SAMPLE	cn_normal	u_normal	cn_clone1	u_clone1	cn_clone2	u_clone2
chr1	1	2623307	bulk_06clone0_03clone1_01normal	1|1	0.09994	2|0	0.60018	2|1	0.29988
chr1	1	2623307	bulk_09clone0_0clone1_01normal	1|1	0.099778	2|0	0.900222	2|1	0
chr1	1	2623307	bulk_0clone0_07clone1_03normal	1|1	0.299635	2|0	0	2|1	0.700365
chr1	2623307	2628765	bulk_06clone0_03clone1_01normal	1|1	0.09994	3|1	0.60018	2|1	0.29988
chr1	2623307	2628765	bulk_09clone0_0clone1_01normal	1|1	0.099778	3|1	0.900222	2|1	0
chr1	2623307	2628765	bulk_0clone0_07clone1_03normal	1|1	0.299635	3|1	0	2|1	0.700365
chr1	2628765	43381607	bulk_06clone0_03clone1_01normal	1|1	0.09994	2|0	0.60018	2|1	0.29988
chr1	2628765	43381607	bulk_09clone0_0clone1_01normal	1|1	0.099778	2|0	0.900222	2|1	0
chr1	2628765	43381607	bulk_0clone0_07clone1_03normal	1|1	0.299635	2|0	0	2|1	0.700365
chr1	43381607	43384991	bulk_06clone0_03clone1_01normal	1|1	0.09994	3|1	0.60018	2|1	0.29988
chr1	43381607	43384991	bulk_09clone0_0clone1_01normal	1|1	0.099778	3|1	0.900222	2|1	0
chr1	43381607	43384991	bulk_0clone0_07clone1_03normal	1|1	0.299635	3|1	0	2|1	0.700365
chr1	43384991	45187279	bulk_06clone0_03clone1_01normal	1|1	0.09994	2|0	0.60018	2|1	0.29988
chr1	43384991	45187279	bulk_09clone0_0clone1_01normal	1|1	0.099778	2|0	0.900222	2|1	0
chr1	43384991	45187279	bulk_0clone0_07clone1_03normal	1|1	0.299635	2|0	0	2|1	0.700365
chr1	45187279	45191610	bulk_06clone0_03clone1_01normal	1|1	0.09994	3|1	0.60018	2|1	0.29988
chr1	45187279	45191610	bulk_09clone0_0clone1_01normal	1|1	0.099778	3|1	0.900222	2|1	0
chr1	45187279	45191610	bulk_0clone0_07clone1_03normal	1|1	0.299635	3|1	0	2|1	0.700365
chr1	45191610	66553601	bulk_06clone0_03clone1_01normal	1|1	0.09994	2|0	0.60018	2|1	0.29988
chr1	45191610	66553601	bulk_09clone0_0clone1_01normal	1|1	0.099778	2|0	0.900222	2|1	0
chr1	45191610	66553601	bulk_0clone0_07clone1_03normal	1|1	0.299635	2|0	0	2|1	0.700365
chr1	66553601	74676400	bulk_06clone0_03clone1_01normal	1|1	0.09994	1|1	0.60018	1|1	0.29988
chr1	66553601	74676400	bulk_09clone0_0clone1_01normal	1|1	0.099778	1|1	0.900222	1|1	0
chr1	66553601	74676400	bulk_0clone0_07clone1_03normal	1|1	0.299635	1|1	0	1|1	0.700365
chr1	74676400	74853461	bulk_06clone0_03clone1_01normal	1|1	0.09994	2|1	0.60018	1|1	0.29988
chr1	74676400	74853461	bulk_09clone0_0clone1_01normal	1|1	0.099778	2|1	0.900222	1|1	0
chr1	74676400	74853461	bulk_0clone0_07clone1_03normal	1|1	0.299635	2|1	0	1|1	0.700365
chr1	74853461	75686340	bulk_06clone0_03clone1_01normal	1|1	0.09994	2|1	0.60018	2|1	0.29988
chr1	74853461	75686340	bulk_09clone0_0clone1_01normal	1|1	0.099778	2|1	0.900222	2|1	0
chr1	74853461	75686340	bulk_0clone0_07clone1_03normal	1|1	0.299635	2|1	0	2|1	0.700365
