#CHR	START	END	SAMPLE	cn_normal	u_normal	cn_clone1	u_clone1	cn_clone2	u_clone2
chr1	1	66526774	bulk_08clone0_0clone1_02normal	1|1	0.202162	3|0	0	2|2	0.797838
chr1	1	66526774	bulk_0clone0_05clone1_05normal	1|1	0.501454	3|0	0.498546	2|2	0
chr1	66526774	66571695	bulk_08clone0_0clone1_02normal	1|1	0.202162	3|1	0	3|1	0.797838
chr1	66526774	66571695	bulk_0clone0_05clone1_05normal	1|1	0.501454	3|1	0.498546	3|1	0
chr1	66571695	74760191	bulk_08clone0_0clone1_02normal	1|1	0.202162	3|2	0	3|2	0.797838
chr1	66571695	74760191	bulk_0clone0_05clone1_05normal	1|1	0.501454	3|2	0.498546	3|2	0
chr1	74760191	75686340	bulk_08clone0_0clone1_02normal	1|1	0.202162	2|2	0	2|2	0.797838
chr1	74760191	75686340	bulk_0clone0_05clone1_05normal	1|1	0.501454	2|2	0.498546	2|2	0
chr1	75686340	116899683	bulk_08clone0_0clone1_02normal	1|1	0.202162	2|1	0	2|1	0.797838
chr1	75686340	116899683	bulk_0clone0_05clone1_05normal	1|1	0.501454	2|1	0.498546	2|1	0
chr1	116899683	116990436	bulk_08clone0_0clone1_02normal	1|1	0.202162	3|1	0	3|1	0.797838
chr1	116899683	116990436	bulk_0clone0_05clone1_05normal	1|1	0.501454	3|1	0.498546	3|1	0
chr1	116990436	121500001	bulk_08clone0_0clone1_02normal	1|1	0.202162	0|2	0	2|0	0.797838
chr1	116990436	121500001	bulk_0clone0_05clone1_05normal	1|1	0.501454	0|2	0.498546	2|0	0
chr1	128900000	152277140	bulk_08clone0_0clone1_02normal	1|1	0.202162	4|3	0	4|3	0.797838
chr1	128900000	152277140	bulk_0clone0_05clone1_05normal	1|1	0.501454	4|3	0.498546	4|3	0
chr1	152277140	152283047	bulk_08clone0_0clone1_02normal	1|1	0.202162	4|4	0	4|4	0.797838
chr1	152277140	152283047	bulk_0clone0_05clone1_05normal	1|1	0.501454	4|4	0.498546	4|4	0
chr1	152283047	170981025	bulk_08clone0_0clone1_02normal	1|1	0.202162	4|3	0	4|3	0.797838
chr1	152283047	170981025	bulk_0clone0_05clone1_05normal	1|1	0.501454	4|3	0.498546	4|3	0
chr1	170981025	171029013	bulk_08clone0_0clone1_02normal	1|1	0.202162	3|3	0	3|3	0.797838
chr1	170981025	171029013	bulk_0clone0_05clone1_05normal	1|1	0.501454	3|3	0.498546	3|3	0
chr1	171029013	233470179	bulk_08clone0_0clone1_02normal	1|1	0.202162	2|2	0	2|2	0.797838
chr1	171029013	233470179	bulk_0clone0_05clone1_05normal	1|1	0.501454	2|2	0.498546	2|2	0
chr1	233470179	246824704	bulk_08clone0_0clone1_02normal	1|1	0.202162	4|1	0	2|2	0.797838
chr1	233470179	246824704	bulk_0clone0_05clone1_05normal	1|1	0.501454	4|1	0.498546	2|2	0
chr1	246824704	246827978	bulk_08clone0_0clone1_02normal	1|1	0.202162	3|1	0	3|1	0.797838
chr1	246824704	246827978	bulk_0clone0_05clone1_05normal	1|1	0.501454	3|1	0.498546	3|1	0
chr1	246827978	249250622	bulk_08clone0_0clone1_02normal	1|1	0.202162	4|1	0	2|2	0.797838
chr1	246827978	249250622	bulk_0clone0_05clone1_05normal	1|1	0.501454	4|1	0.498546	2|2	0
chr10	1	2709210	bulk_08clone0_0clone1_02normal	1|1	0.202162	2|0	0	4|1	0.797838
chr10	1	2709210	bulk_0clone0_05clone1_05normal	1|1	0.501454	2|0	0.498546	4|1	0
chr10	2709210	2743683	bulk_08clone0_0clone1_02normal	1|1	0.202162	3|1	0	3|1	0.797838
chr10	2709210	2743683	bulk_0clone0_05clone1_05normal	1|1	0.501454	3|1	0.498546	3|1	0
chr10	2743683	38000001	bulk_08clone0_0clone1_02normal	1|1	0.202162	2|1	0	2|1	0.797838
chr10	2743683	38000001	bulk_0clone0_05clone1_05normal	1|1	0.501454	2|1	0.498546	2|1	0
chr10	42300000	42370606	bulk_08clone0_0clone1_02normal	1|1	0.202162	2|1	0	2|1	0.797838
chr10	42300000	42370606	bulk_0clone0_05clone1_05normal	1|1	0.501454	2|1	0.498546	2|1	0
chr10	42370606	42389230	bulk_08clone0_0clone1_02normal	1|1	0.202162	3|1	0	3|1	0.797838
chr10	42370606	42389230	bulk_0clone0_05clone1_05normal	1|1	0.501454	3|1	0.498546	3|1	0
chr10	42389230	60044300	bulk_08clone0_0clone1_02normal	1|1	0.202162	2|1	0	2|1	0.797838
chr10	42389230	60044300	bulk_0clone0_05clone1_05normal	1|1	0.501454	2|1	0.498546	2|1	0
chr10	60044300	60198656	bulk_08clone0_0clone1_02normal	1|1	0.202162	3|1	0	3|1	0.797838
chr10	60044300	60198656	bulk_0clone0_05clone1_05normal	1|1	0.501454	3|1	0.498546	3|1	0
chr10	60198656	70764137	bulk_08clone0_0clone1_02normal	1|1	0.202162	2|2	0	2|2	0.797838
chr10	60198656	70764137	bulk_0clone0_05clone1_05normal	1|1	0.501454	2|2	0.498546	2|2	0
chr10	70764137	102629890	bulk_08clone0_0clone1_02normal	1|1	0.202162	0|2	0	2|0	0.797838
chr10	70764137	102629890	bulk_0clone0_05clone1_05normal	1|1	0.501454	0|2	0.498546	2|0	0
