#CHR	START	END	SAMPLE	cn_normal	u_normal	cn_clone1	u_clone1	cn_clone2	u_clone2
chr1	1	1466167	bulk_06clone0_03clone1_01normal	1|1	0.098758	2|1	0.601427	2|1	0.299815
chr1	1	1466167	bulk_09clone0_0clone1_01normal	1|1	0.0995231	2|1	0.900477	2|1	0
chr1	1	1466167	bulk_0clone0_07clone1_03normal	1|1	0.299519	2|1	0	2|1	0.700481
chr1	1466167	1469852	bulk_06clone0_03clone1_01normal	1|1	0.098758	2|2	0.601427	2|2	0.299815
chr1	1466167	1469852	bulk_09clone0_0clone1_01normal	1|1	0.0995231	2|2	0.900477	2|2	0
chr1	1466167	1469852	bulk_0clone0_07clone1_03normal	1|1	0.299519	2|2	0	2|2	0.700481
chr1	1469852	66543336	bulk_06clone0_03clone1_01normal	1|1	0.098758	2|1	0.601427	2|1	0.299815
chr1	1469852	66543336	bulk_09clone0_0clone1_01normal	1|1	0.0995231	2|1	0.900477	2|1	0
chr1	1469852	66543336	bulk_0clone0_07clone1_03normal	1|1	0.299519	2|1	0	2|1	0.700481
chr1	66543336	74630312	bulk_06clone0_03clone1_01normal	1|1	0.098758	2|0	0.601427	2|0	0.299815
chr1	66543336	74630312	bulk_09clone0_0clone1_01normal	1|1	0.0995231	2|0	0.900477	2|0	0
chr1	66543336	74630312	bulk_0clone0_07clone1_03normal	1|1	0.299519	2|0	0	2|0	0.700481
chr1	74630312	74853461	bulk_06clone0_03clone1_01normal	1|1	0.098758	2|2	0.601427	2|2	0.299815
chr1	74630312	74853461	bulk_09clone0_0clone1_01normal	1|1	0.0995231	2|2	0.900477	2|2	0
chr1	74630312	74853461	bulk_0clone0_07clone1_03normal	1|1	0.299519	2|2	0	2|2	0.700481
chr1	74853461	75667521	bulk_06clone0_03clone1_01normal	1|1	0.098758	2|1	0.601427	2|1	0.299815
chr1	74853461	75667521	bulk_09clone0_0clone1_01normal	1|1	0.0995231	2|1	0.900477	2|1	0
chr1	74853461	75667521	bulk_0clone0_07clone1_03normal	1|1	0.299519	2|1	0	2|1	0.700481
chr1	75667521	75722889	bulk_06clone0_03clone1_01normal	1|1	0.098758	2|2	0.601427	2|2	0.299815
chr1	75667521	75722889	bulk_09clone0_0clone1_01normal	1|1	0.0995231	2|2	0.900477	2|2	0
chr1	75667521	75722889	bulk_0clone0_07clone1_03normal	1|1	0.299519	2|2	0	2|2	0.700481
chr1	75722889	102228696	bulk_06clone0_03clone1_01normal	1|1	0.098758	3|2	0.601427	2|3	0.299815
chr1	75722889	102228696	bulk_09clone0_0clone1_01normal	1|1	0.0995231	3|2	0.900477	2|3	0
chr1	75722889	102228696	bulk_0clone0_07clone1_03normal	1|1	0.299519	3|2	0	2|3	0.700481
chr1	102228696	102232235	bulk_06clone0_03clone1_01normal	1|1	0.098758	2|2	0.601427	2|2	0.299815
chr1	102228696	102232235	bulk_09clone0_0clone1_01normal	1|1	0.0995231	2|2	0.900477	2|2	0
chr1	102228696	102232235	bulk_0clone0_07clone1_03normal	1|1	0.299519	2|2	0	2|2	0.700481
chr1	102232235	115716166	bulk_06clone0_03clone1_01normal	1|1	0.098758	3|2	0.601427	2|3	0.299815
chr1	102232235	115716166	bulk_09clone0_0clone1_01normal	1|1	0.0995231	3|2	0.900477	2|3	0
chr1	102232235	115716166	bulk_0clone0_07clone1_03normal	1|1	0.299519	3|2	0	2|3	0.700481
chr1	115716166	115800065	bulk_06clone0_03clone1_01normal	1|1	0.098758	2|2	0.601427	2|2	0.299815
chr1	115716166	115800065	bulk_09clone0_0clone1_01normal	1|1	0.0995231	2|2	0.900477	2|2	0
chr1	115716166	115800065	bulk_0clone0_07clone1_03normal	1|1	0.299519	2|2	0	2|2	0.700481
chr1	115800065	116420102	bulk_06clone0_03clone1_01normal	1|1	0.098758	3|2	0.601427	2|3	0.299815
chr1	115800065	116420102	bulk_09clone0_0clone1_01normal	1|1	0.0995231	3|2	0.900477	2|3	0
chr1	115800065	116420102	bulk_0clone0_07clone1_03normal	1|1	0.299519	3|2	0	2|3	0.700481
chr1	116420102	116445424	bulk_06clone0_03clone1_01normal	1|1	0.098758	2|2	0.601427	2|2	0.299815
chr1	116420102	116445424	bulk_09clone0_0clone1_01normal	1|1	0.0995231	2|2	0.900477	2|2	0
chr1	116420102	116445424	bulk_0clone0_07clone1_03normal	1|1	0.299519	2|2	0	2|2	0.700481
chr1	116445424	116897512	bulk_06clone0_03clone1_01normal	1|1	0.098758	3|2	0.601427	2|3	0.299815
chr1	116445424	116897512	bulk_09clone0_0clone1_01normal	1|1	0.0995231	3|2	0.900477	2|3	0
chr1	116445424	116897512	bulk_0clone0_07clone1_03normal	1|1	0.299519	3|2	0	2|3	0.700481
chr1	116897512	116953779	bulk_06clone0_03clone1_01normal	1|1	0.098758	2|2	0.601427	2|2	0.299815
chr1	116897512	116953779	bulk_09clone0_0clone1_01normal	1|1	0.0995231	2|2	0.900477	2|2	0
chr1	116897512	116953779	bulk_0clone0_07clone1_03normal	1|1	0.299519	2|2	0	2|2	0.700481
chr1	116953779	121358844	bulk_06clone0_03clone1_01normal	1|1	0.098758	2|1	0.601427	2|1	0.299815
chr1	116953779	121358844	bulk_09clone0_0clone1_01normal	1|1	0.0995231	2|1	0.900477	2|1	0
chr1	116953779	121358844	bulk_0clone0_07clone1_03normal	1|1	0.299519	2|1	0	2|1	0.700481
chr1	121358844	121361979	bulk_06clone0_03clone1_01normal	1|1	0.098758	2|2	0.601427	2|2	0.299815
chr1	121358844	121361979	bulk_09clone0_0clone1_01normal	1|1	0.0995231	2|2	0.900477	2|2	0
chr1	121358844	121361979	bulk_0clone0_07clone1_03normal	1|1	0.299519	2|2	0	2|2	0.700481
chr1	121361979	121500001	bulk_06clone0_03clone1_01normal	1|1	0.098758	2|1	0.601427	2|1	0.299815
chr1	121361979	121500001	bulk_09clone0_0clone1_01normal	1|1	0.0995231	2|1	0.900477	2|1	0
chr1	121361979	121500001	bulk_0clone0_07clone1_03normal	1|1	0.299519	2|1	0	2|1	0.700481
chr1	128900000	146954919	bulk_06clone0_03clone1_01normal	1|1	0.098758	2|1	0.601427	1|2	0.299815
chr1	128900000	146954919	bulk_09clone0_0clone1_01normal	1|1	0.0995231	2|1	0.900477	1|2	0
chr1	128900000	146954919	bulk_0clone0_07clone1_03normal	1|1	0.299519	2|1	0	1|2	0.700481
chr1	146954919	147046879	bulk_06clone0_03clone1_01normal	1|1	0.098758	2|2	0.601427	2|2	0.299815
chr1	146954919	147046879	bulk_09clone0_0clone1_01normal	1|1	0.0995231	2|2	0.900477	2|2	0
chr1	146954919	147046879	bulk_0clone0_07clone1_03normal	1|1	0.299519	2|2	0	2|2	0.700481
chr1	147046879	150272711	bulk_06clone0_03clone1_01normal	1|1	0.098758	2|1	0.601427	1|2	0.299815
chr1	147046879	150272711	bulk_09clone0_0clone1_01normal	1|1	0.0995231	2|1	0.900477	1|2	0
chr1	147046879	150272711	bulk_0clone0_07clone1_03normal	1|1	0.299519	2|1	0	1|2	0.700481
chr1	150272711	150327838	bulk_06clone0_03clone1_01normal	1|1	0.098758	2|2	0.601427	2|2	0.299815
chr1	150272711	150327838	bulk_09clone0_0clone1_01normal	1|1	0.0995231	2|2	0.900477	2|2	0
chr1	150272711	150327838	bulk_0clone0_07clone1_03normal	1|1	0.299519	2|2	0	2|2	0.700481
chr1	150327838	158712640	bulk_06clone0_03clone1_01normal	1|1	0.098758	2|1	0.601427	1|2	0.299815
chr1	150327838	158712640	bulk_09clone0_0clone1_01normal	1|1	0.0995231	2|1	0.900477	1|2	0
chr1	150327838	158712640	bulk_0clone0_07clone1_03normal	1|1	0.299519	2|1	0	1|2	0.700481
chr1	158712640	158730633	bulk_06clone0_03clone1_01normal	1|1	0.098758	2|2	0.601427	2|2	0.299815
chr1	158712640	158730633	bulk_09clone0_0clone1_01normal	1|1	0.0995231	2|2	0.900477	2|2	0
chr1	158712640	158730633	bulk_0clone0_07clone1_03normal	1|1	0.299519	2|2	0	2|2	0.700481
chr1	158730633	159775660	bulk_06clone0_03clone1_01normal	1|1	0.098758	2|1	0.601427	1|2	0.299815
chr1	158730633	159775660	bulk_09clone0_0clone1_01normal	1|1	0.0995231	2|1	0.900477	1|2	0
chr1	158730633	159775660	bulk_0clone0_07clone1_03normal	1|1	0.299519	2|1	0	1|2	0.700481
chr1	159775660	159821595	bulk_06clone0_03clone1_01normal	1|1	0.098758	2|2	0.601427	2|2	0.299815
chr1	159775660	159821595	bulk_09clone0_0clone1_01normal	1|1	0.0995231	2|2	0.900477	2|2	0
chr1	159775660	159821595	bulk_0clone0_07clone1_03normal	1|1	0.299519	2|2	0	2|2	0.700481
chr1	159821595	160940778	bulk_06clone0_03clone1_01normal	1|1	0.098758	2|1	0.601427	1|2	0.299815
chr1	159821595	160940778	bulk_09clone0_0clone1_01normal	1|1	0.0995231	2|1	0.900477	1|2	0
chr1	159821595	160940778	bulk_0clone0_07clone1_03normal	1|1	0.299519	2|1	0	1|2	0.700481
chr1	160940778	161000016	bulk_06clone0_03clone1_01normal	1|1	0.098758	2|2	0.601427	2|2	0.299815
