#CHR	START	END	SAMPLE	cn_normal	u_normal	cn_clone1	u_clone1	cn_clone2	u_clone2
chr1	1	66543336	bulk_08clone0_0clone1_02normal	1|1	0.200006	0|1	0	1|0	0.799994
chr1	1	66543336	bulk_0clone0_05clone1_05normal	1|1	0.500773	0|1	0.499227	1|0	0
chr1	66543336	74760191	bulk_08clone0_0clone1_02normal	1|1	0.200006	2|0	0	2|0	0.799994
chr1	66543336	74760191	bulk_0clone0_05clone1_05normal	1|1	0.500773	2|0	0.499227	2|0	0
chr1	74760191	75667521	bulk_08clone0_0clone1_02normal	1|1	0.200006	0|1	0	1|0	0.799994
chr1	74760191	75667521	bulk_0clone0_05clone1_05normal	1|1	0.500773	0|1	0.499227	1|0	0
chr1	75667521	75776473	bulk_08clone0_0clone1_02normal	1|1	0.200006	1|1	0	2|1	0.799994
chr1	75667521	75776473	bulk_0clone0_05clone1_05normal	1|1	0.500773	1|1	0.499227	2|1	0
chr1	75776473	116872034	bulk_08clone0_0clone1_02normal	1|1	0.200006	1|0	0	1|0	0.799994
chr1	75776473	116872034	bulk_0clone0_05clone1_05normal	1|1	0.500773	1|0	0.499227	1|0	0
chr1	116872034	116953779	bulk_08clone0_0clone1_02normal	1|1	0.200006	1|1	0	2|1	0.799994
chr1	116872034	116953779	bulk_0clone0_05clone1_05normal	1|1	0.500773	1|1	0.499227	2|1	0
chr1	116953779	121500001	bulk_08clone0_0clone1_02normal	1|1	0.200006	3|1	0	3|1	0.799994
chr1	116953779	121500001	bulk_0clone0_05clone1_05normal	1|1	0.500773	3|1	0.499227	3|1	0
chr1	128900000	170978494	bulk_08clone0_0clone1_02normal	1|1	0.200006	3|1	0	3|1	0.799994
chr1	128900000	170978494	bulk_0clone0_05clone1_05normal	1|1	0.500773	3|1	0.499227	3|1	0
chr1	170978494	171028849	bulk_08clone0_0clone1_02normal	1|1	0.200006	1|1	0	2|1	0.799994
chr1	170978494	171028849	bulk_0clone0_05clone1_05normal	1|1	0.500773	1|1	0.499227	2|1	0
chr1	171028849	233419798	bulk_08clone0_0clone1_02normal	1|1	0.200006	0|1	0	1|0	0.799994
chr1	171028849	233419798	bulk_0clone0_05clone1_05normal	1|1	0.500773	0|1	0.499227	1|0	0
chr1	233419798	249250622	bulk_08clone0_0clone1_02normal	1|1	0.200006	1|1	0	1|1	0.799994
chr1	233419798	249250622	bulk_0clone0_05clone1_05normal	1|1	0.500773	1|1	0.499227	1|1	0
chr10	1	2720570	bulk_08clone0_0clone1_02normal	1|1	0.200006	0|1	0	1|0	0.799994
chr10	1	2720570	bulk_0clone0_05clone1_05normal	1|1	0.500773	0|1	0.499227	1|0	0
chr10	2720570	2747594	bulk_08clone0_0clone1_02normal	1|1	0.200006	1|1	0	2|1	0.799994
chr10	2720570	2747594	bulk_0clone0_05clone1_05normal	1|1	0.500773	1|1	0.499227	2|1	0
chr10	2747594	38000001	bulk_08clone0_0clone1_02normal	1|1	0.200006	2|1	0	2|0	0.799994
chr10	2747594	38000001	bulk_0clone0_05clone1_05normal	1|1	0.500773	2|1	0.499227	2|0	0
chr10	42300000	42389230	bulk_08clone0_0clone1_02normal	1|1	0.200006	2|1	0	2|0	0.799994
chr10	42300000	42389230	bulk_0clone0_05clone1_05normal	1|1	0.500773	2|1	0.499227	2|0	0
chr10	42389230	42397951	bulk_08clone0_0clone1_02normal	1|1	0.200006	1|1	0	2|1	0.799994
chr10	42389230	42397951	bulk_0clone0_05clone1_05normal	1|1	0.500773	1|1	0.499227	2|1	0
chr10	42397951	60004979	bulk_08clone0_0clone1_02normal	1|1	0.200006	2|1	0	2|0	0.799994
chr10	42397951	60004979	bulk_0clone0_05clone1_05normal	1|1	0.500773	2|1	0.499227	2|0	0
