#CHR	START	END	SAMPLE	cn_normal	u_normal	cn_clone1	u_clone1	cn_clone2	u_clone2
chr1	1	2616662	bulk_06clone0_03clone1_01normal	1|1	0.0995918	1|0	0.600769	0|1	0.299639
chr1	1	2616662	bulk_09clone0_0clone1_01normal	1|1	0.0998308	1|0	0.900169	0|1	0
chr1	1	2616662	bulk_0clone0_07clone1_03normal	1|1	0.300395	1|0	0	0|1	0.699605
chr1	2616662	2626264	bulk_06clone0_03clone1_01normal	1|1	0.0995918	2|0	0.600769	1|1	0.299639
chr1	2616662	2626264	bulk_09clone0_0clone1_01normal	1|1	0.0998308	2|0	0.900169	1|1	0
chr1	2616662	2626264	bulk_0clone0_07clone1_03normal	1|1	0.300395	2|0	0	1|1	0.699605
chr1	2626264	66449687	bulk_06clone0_03clone1_01normal	1|1	0.0995918	1|0	0.600769	0|1	0.299639
chr1	2626264	66449687	bulk_09clone0_0clone1_01normal	1|1	0.0998308	1|0	0.900169	0|1	0
chr1	2626264	66449687	bulk_0clone0_07clone1_03normal	1|1	0.300395	1|0	0	0|1	0.699605
chr1	66449687	66565262	bulk_06clone0_03clone1_01normal	1|1	0.0995918	2|0	0.600769	1|1	0.299639
chr1	66449687	66565262	bulk_09clone0_0clone1_01normal	1|1	0.0998308	2|0	0.900169	1|1	0
chr1	66449687	66565262	bulk_0clone0_07clone1_03normal	1|1	0.300395	2|0	0	1|1	0.699605
chr1	66565262	74603851	bulk_06clone0_03clone1_01normal	1|1	0.0995918	2|0	0.600769	2|0	0.299639
chr1	66565262	74603851	bulk_09clone0_0clone1_01normal	1|1	0.0998308	2|0	0.900169	2|0	0
chr1	66565262	74603851	bulk_0clone0_07clone1_03normal	1|1	0.300395	2|0	0	2|0	0.699605
chr1	74603851	74760191	bulk_06clone0_03clone1_01normal	1|1	0.0995918	2|0	0.600769	1|1	0.299639
chr1	74603851	74760191	bulk_09clone0_0clone1_01normal	1|1	0.0998308	2|0	0.900169	1|1	0
chr1	74603851	74760191	bulk_0clone0_07clone1_03normal	1|1	0.300395	2|0	0	1|1	0.699605
chr1	74760191	75708452	bulk_06clone0_03clone1_01normal	1|1	0.0995918	1|0	0.600769	0|1	0.299639
chr1	74760191	75708452	bulk_09clone0_0clone1_01normal	1|1	0.0998308	1|0	0.900169	0|1	0
chr1	74760191	75708452	bulk_0clone0_07clone1_03normal	1|1	0.300395	1|0	0	0|1	0.699605
chr1	75708452	116884598	bulk_06clone0_03clone1_01normal	1|1	0.0995918	1|0	0.600769	1|0	0.299639
chr1	75708452	116884598	bulk_09clone0_0clone1_01normal	1|1	0.0998308	1|0	0.900169	1|0	0
chr1	75708452	116884598	bulk_0clone0_07clone1_03normal	1|1	0.300395	1|0	0	1|0	0.699605
chr1	116884598	116953779	bulk_06clone0_03clone1_01normal	1|1	0.0995918	2|0	0.600769	1|1	0.299639
chr1	116884598	116953779	bulk_09clone0_0clone1_01normal	1|1	0.0998308	2|0	0.900169	1|1	0
chr1	116884598	116953779	bulk_0clone0_07clone1_03normal	1|1	0.300395	2|0	0	1|1	0.699605
chr1	116953779	121370588	bulk_06clone0_03clone1_01normal	1|1	0.0995918	3|1	0.600769	3|1	0.299639
chr1	116953779	121370588	bulk_09clone0_0clone1_01normal	1|1	0.0998308	3|1	0.900169	3|1	0
chr1	116953779	121370588	bulk_0clone0_07clone1_03normal	1|1	0.300395	3|1	0	3|1	0.699605
chr1	121370588	121374024	bulk_06clone0_03clone1_01normal	1|1	0.0995918	3|1	0.600769	2|1	0.299639
chr1	121370588	121374024	bulk_09clone0_0clone1_01normal	1|1	0.0998308	3|1	0.900169	2|1	0
chr1	121370588	121374024	bulk_0clone0_07clone1_03normal	1|1	0.300395	3|1	0	2|1	0.699605
chr1	121374024	121472019	bulk_06clone0_03clone1_01normal	1|1	0.0995918	3|1	0.600769	3|1	0.299639
chr1	121374024	121472019	bulk_09clone0_0clone1_01normal	1|1	0.0998308	3|1	0.900169	3|1	0
chr1	121374024	121472019	bulk_0clone0_07clone1_03normal	1|1	0.300395	3|1	0	3|1	0.699605
chr1	121472019	121478086	bulk_06clone0_03clone1_01normal	1|1	0.0995918	3|1	0.600769	2|1	0.299639
chr1	121472019	121478086	bulk_09clone0_0clone1_01normal	1|1	0.0998308	3|1	0.900169	2|1	0
chr1	121472019	121478086	bulk_0clone0_07clone1_03normal	1|1	0.300395	3|1	0	2|1	0.699605
chr1	121478086	121500001	bulk_06clone0_03clone1_01normal	1|1	0.0995918	3|1	0.600769	3|1	0.299639
chr1	121478086	121500001	bulk_09clone0_0clone1_01normal	1|1	0.0998308	3|1	0.900169	3|1	0
chr1	121478086	121500001	bulk_0clone0_07clone1_03normal	1|1	0.300395	3|1	0	3|1	0.699605
chr1	128900000	153080759	bulk_06clone0_03clone1_01normal	1|1	0.0995918	3|1	0.600769	3|1	0.299639
chr1	128900000	153080759	bulk_09clone0_0clone1_01normal	1|1	0.0998308	3|1	0.900169	3|1	0
chr1	128900000	153080759	bulk_0clone0_07clone1_03normal	1|1	0.300395	3|1	0	3|1	0.699605
chr1	153080759	153083716	bulk_06clone0_03clone1_01normal	1|1	0.0995918	3|1	0.600769	2|1	0.299639
chr1	153080759	153083716	bulk_09clone0_0clone1_01normal	1|1	0.0998308	3|1	0.900169	2|1	0
