#CHR	START	END	SAMPLE	cn_normal	u_normal	cn_clone1	u_clone1	cn_clone2	u_clone2
chr1	1	66543336	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|1	0	2|2	0.800424
chr1	1	66543336	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|1	0.499859	2|2	0
chr1	66543336	66576462	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|1	0	1|0	0.800424
chr1	66543336	66576462	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|1	0.499859	1|0	0
chr1	66576462	74638234	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|0	0	2|0	0.800424
chr1	66576462	74638234	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|0	0.499859	2|0	0
chr1	74638234	74853461	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|1	0	1|0	0.800424
chr1	74638234	74853461	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|1	0.499859	1|0	0
chr1	74853461	75673611	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|1	0	1|1	0.800424
chr1	74853461	75673611	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|1	0.499859	1|1	0
chr1	75673611	75776473	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|1	0	1|0	0.800424
chr1	75673611	75776473	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|1	0.499859	1|0	0
chr1	75776473	116899683	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|0	0	1|0	0.800424
chr1	75776473	116899683	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|0	0.499859	1|0	0
chr1	116899683	121500001	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|1	0	1|1	0.800424
chr1	116899683	121500001	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|1	0.499859	1|1	0
chr1	128900000	171002045	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|1	0	2|0	0.800424
chr1	128900000	171002045	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|1	0.499859	2|0	0
chr1	171002045	233416083	bulk_08clone0_0clone1_02normal	1|1	0.199576	0|1	0	1|0	0.800424
chr1	171002045	233416083	bulk_0clone0_05clone1_05normal	1|1	0.500141	0|1	0.499859	1|0	0
chr1	233416083	233525043	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|1	0	1|0	0.800424
chr1	233416083	233525043	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|1	0.499859	1|0	0
chr1	233525043	249250622	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|1	0	1|1	0.800424
chr1	233525043	249250622	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|1	0.499859	1|1	0
chr10	1	2709210	bulk_08clone0_0clone1_02normal	1|1	0.199576	0|1	0	1|0	0.800424
chr10	1	2709210	bulk_0clone0_05clone1_05normal	1|1	0.500141	0|1	0.499859	1|0	0
chr10	2709210	2743683	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|1	0	1|0	0.800424
chr10	2709210	2743683	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|1	0.499859	1|0	0
chr10	2743683	38000001	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|1	0	2|1	0.800424
chr10	2743683	38000001	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|1	0.499859	2|1	0
chr10	42300000	60019225	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|1	0	2|1	0.800424
chr10	42300000	60019225	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|1	0.499859	2|1	0
chr10	60019225	60231976	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|1	0	1|0	0.800424
chr10	60019225	60231976	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|1	0.499859	1|0	0
chr10	60231976	70737582	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|0	0	1|0	0.800424
chr10	60231976	70737582	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|0	0.499859	1|0	0
chr10	70737582	70778641	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|1	0	1|0	0.800424
chr10	70737582	70778641	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|1	0.499859	1|0	0
chr10	70778641	102665385	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|0	0	2|0	0.800424
chr10	70778641	102665385	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|0	0.499859	2|0	0
chr10	102665385	105262650	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|1	0	1|1	0.800424
chr10	102665385	105262650	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|1	0.499859	1|1	0
chr10	105262650	117561922	bulk_08clone0_0clone1_02normal	1|1	0.199576	0|1	0	1|0	0.800424
chr10	105262650	117561922	bulk_0clone0_05clone1_05normal	1|1	0.500141	0|1	0.499859	1|0	0
chr10	117561922	117677927	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|1	0	1|0	0.800424
chr10	117561922	117677927	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|1	0.499859	1|0	0
chr10	117677927	125681887	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|1	0	1|0	0.800424
chr10	117677927	125681887	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|1	0.499859	1|0	0
chr10	125681887	135534748	bulk_08clone0_0clone1_02normal	1|1	0.199576	0|1	0	1|0	0.800424
chr10	125681887	135534748	bulk_0clone0_05clone1_05normal	1|1	0.500141	0|1	0.499859	1|0	0
chr11	1	4293237	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|0	0	1|0	0.800424
chr11	1	4293237	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|0	0.499859	1|0	0
chr11	4293237	4306511	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|1	0	1|0	0.800424
chr11	4293237	4306511	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|1	0.499859	1|0	0
chr11	4306511	14183388	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|1	0	2|1	0.800424
chr11	4306511	14183388	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|1	0.499859	2|1	0
chr11	14183388	27826299	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|1	0	1|1	0.800424
chr11	14183388	27826299	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|1	0.499859	1|1	0
chr11	27826299	33471924	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|2	0	2|2	0.800424
chr11	27826299	33471924	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|2	0.499859	2|2	0
chr11	33471924	36046095	bulk_08clone0_0clone1_02normal	1|1	0.199576	3|1	0	3|1	0.800424
chr11	33471924	36046095	bulk_0clone0_05clone1_05normal	1|1	0.500141	3|1	0.499859	3|1	0
chr11	36046095	36090219	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|1	0	2|1	0.800424
chr11	36046095	36090219	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|1	0.499859	2|1	0
chr11	36090219	36144026	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|1	0	1|2	0.800424
chr11	36090219	36144026	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|1	0.499859	1|2	0
chr11	36144026	37919091	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|2	0	2|1	0.800424
chr11	36144026	37919091	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|2	0.499859	2|1	0
chr11	37919091	37941961	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|1	0	1|2	0.800424
chr11	37919091	37941961	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|1	0.499859	1|2	0
chr11	37941961	39580477	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|2	0	2|1	0.800424
chr11	37941961	39580477	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|2	0.499859	2|1	0
chr11	39580477	39617370	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|1	0	1|2	0.800424
chr11	39580477	39617370	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|1	0.499859	1|2	0
chr11	39617370	40445593	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|2	0	2|1	0.800424
chr11	39617370	40445593	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|2	0.499859	2|1	0
chr11	40445593	40478681	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|1	0	1|2	0.800424
chr11	40445593	40478681	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|1	0.499859	1|2	0
chr11	40478681	42385078	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|2	0	2|1	0.800424
chr11	40478681	42385078	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|2	0.499859	2|1	0
chr11	42385078	42577560	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|1	0	1|2	0.800424
chr11	42385078	42577560	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|1	0.499859	1|2	0
chr11	42577560	44037257	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|2	0	2|1	0.800424
chr11	42577560	44037257	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|2	0.499859	2|1	0
chr11	44037257	44352057	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|1	0	1|2	0.800424
chr11	44037257	44352057	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|1	0.499859	1|2	0
chr11	44352057	45243873	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|2	0	2|1	0.800424
chr11	44352057	45243873	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|2	0.499859	2|1	0
chr11	45243873	45305512	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|1	0	1|2	0.800424
chr11	45243873	45305512	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|1	0.499859	1|2	0
chr11	45305512	45488728	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|2	0	2|1	0.800424
chr11	45305512	45488728	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|2	0.499859	2|1	0
chr11	45488728	45505633	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|1	0	1|2	0.800424
chr11	45488728	45505633	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|1	0.499859	1|2	0
chr11	45505633	47085711	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|2	0	2|1	0.800424
chr11	45505633	47085711	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|2	0.499859	2|1	0
chr11	47085711	47317116	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|1	0	1|2	0.800424
chr11	47085711	47317116	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|1	0.499859	1|2	0
chr11	47317116	47726250	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|2	0	2|1	0.800424
chr11	47317116	47726250	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|2	0.499859	2|1	0
chr11	47726250	47775945	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|1	0	1|2	0.800424
chr11	47726250	47775945	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|1	0.499859	1|2	0
chr11	47775945	49908533	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|2	0	2|1	0.800424
chr11	47775945	49908533	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|2	0.499859	2|1	0
chr11	49908533	49911517	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|1	0	1|2	0.800424
chr11	49908533	49911517	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|1	0.499859	1|2	0
chr11	49911517	50601825	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|2	0	2|1	0.800424
chr11	49911517	50601825	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|2	0.499859	2|1	0
chr11	50601825	50655546	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|1	0	1|2	0.800424
chr11	50601825	50655546	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|1	0.499859	1|2	0
chr11	50655546	51364435	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|2	0	2|1	0.800424
chr11	50655546	51364435	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|2	0.499859	2|1	0
chr11	51364435	51382689	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|1	0	1|2	0.800424
chr11	51364435	51382689	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|1	0.499859	1|2	0
chr11	51382689	51600001	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|2	0	2|1	0.800424
chr11	51382689	51600001	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|2	0.499859	2|1	0
chr11	55700000	57351128	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|2	0	2|1	0.800424
chr11	55700000	57351128	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|2	0.499859	2|1	0
chr11	57351128	57441402	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|1	0	1|2	0.800424
chr11	57351128	57441402	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|1	0.499859	1|2	0
chr11	57441402	58800433	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|2	0	2|1	0.800424
chr11	57441402	58800433	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|2	0.499859	2|1	0
chr11	58800433	58844938	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|1	0	1|2	0.800424
chr11	58800433	58844938	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|1	0.499859	1|2	0
chr11	58844938	59163535	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|2	0	2|1	0.800424
chr11	58844938	59163535	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|2	0.499859	2|1	0
chr11	59163535	59207972	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|1	0	1|2	0.800424
chr11	59163535	59207972	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|1	0.499859	1|2	0
chr11	59207972	59516843	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|2	0	2|1	0.800424
chr11	59207972	59516843	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|2	0.499859	2|1	0
chr11	59516843	59571030	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|1	0	1|2	0.800424
chr11	59516843	59571030	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|1	0.499859	1|2	0
chr11	59571030	60787458	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|2	0	2|1	0.800424
chr11	59571030	60787458	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|2	0.499859	2|1	0
chr11	60787458	60852892	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|1	0	1|2	0.800424
chr11	60787458	60852892	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|1	0.499859	1|2	0
chr11	60852892	61051810	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|2	0	2|1	0.800424
chr11	60852892	61051810	bulk_0clone0_05clone1_05normal	1|1	0.500141	1|2	0.499859	2|1	0
chr11	61051810	61118526	bulk_08clone0_0clone1_02normal	1|1	0.199576	2|1	0	1|2	0.800424
chr11	61051810	61118526	bulk_0clone0_05clone1_05normal	1|1	0.500141	2|1	0.499859	1|2	0
chr11	61118526	61881204	bulk_08clone0_0clone1_02normal	1|1	0.199576	1|2	0	2|1	0.800424
