#CHR	START	END	SAMPLE	cn_normal	u_normal	cn_clone1	u_clone1	cn_clone2	u_clone2
chr1	1	1225259	bulk_06clone0_03clone1_01normal	1|1	0.101166	2|2	0.599819	3|0	0.299015
chr1	1	1225259	bulk_09clone0_0clone1_01normal	1|1	0.101862	2|2	0.898138	3|0	0
chr1	1	1225259	bulk_0clone0_07clone1_03normal	1|1	0.301409	2|2	0	3|0	0.698591
chr1	1225259	1235601	bulk_06clone0_03clone1_01normal	1|1	0.101166	2|1	0.599819	2|1	0.299015
chr1	1225259	1235601	bulk_09clone0_0clone1_01normal	1|1	0.101862	2|1	0.898138	2|1	0
chr1	1225259	1235601	bulk_0clone0_07clone1_03normal	1|1	0.301409	2|1	0	2|1	0.698591
chr1	1235601	2622137	bulk_06clone0_03clone1_01normal	1|1	0.101166	2|2	0.599819	3|0	0.299015
chr1	1235601	2622137	bulk_09clone0_0clone1_01normal	1|1	0.101862	2|2	0.898138	3|0	0
chr1	1235601	2622137	bulk_0clone0_07clone1_03normal	1|1	0.301409	2|2	0	3|0	0.698591
chr1	2622137	2628765	bulk_06clone0_03clone1_01normal	1|1	0.101166	2|1	0.599819	2|1	0.299015
chr1	2622137	2628765	bulk_09clone0_0clone1_01normal	1|1	0.101862	2|1	0.898138	2|1	0
chr1	2622137	2628765	bulk_0clone0_07clone1_03normal	1|1	0.301409	2|1	0	2|1	0.698591
chr1	2628765	43381921	bulk_06clone0_03clone1_01normal	1|1	0.101166	2|2	0.599819	3|0	0.299015
chr1	2628765	43381921	bulk_09clone0_0clone1_01normal	1|1	0.101862	2|2	0.898138	3|0	0
chr1	2628765	43381921	bulk_0clone0_07clone1_03normal	1|1	0.301409	2|2	0	3|0	0.698591
chr1	43381921	43391791	bulk_06clone0_03clone1_01normal	1|1	0.101166	2|1	0.599819	2|1	0.299015
chr1	43381921	43391791	bulk_09clone0_0clone1_01normal	1|1	0.101862	2|1	0.898138	2|1	0
chr1	43381921	43391791	bulk_0clone0_07clone1_03normal	1|1	0.301409	2|1	0	2|1	0.698591
chr1	43391791	66553601	bulk_06clone0_03clone1_01normal	1|1	0.101166	2|2	0.599819	3|0	0.299015
chr1	43391791	66553601	bulk_09clone0_0clone1_01normal	1|1	0.101862	2|2	0.898138	3|0	0
chr1	43391791	66553601	bulk_0clone0_07clone1_03normal	1|1	0.301409	2|2	0	3|0	0.698591
chr1	66553601	74760191	bulk_06clone0_03clone1_01normal	1|1	0.101166	3|2	0.599819	2|3	0.299015
chr1	66553601	74760191	bulk_09clone0_0clone1_01normal	1|1	0.101862	3|2	0.898138	2|3	0
chr1	66553601	74760191	bulk_0clone0_07clone1_03normal	1|1	0.301409	3|2	0	2|3	0.698591
chr1	74760191	75667521	bulk_06clone0_03clone1_01normal	1|1	0.101166	2|2	0.599819	2|2	0.299015
chr1	74760191	75667521	bulk_09clone0_0clone1_01normal	1|1	0.101862	2|2	0.898138	2|2	0
chr1	74760191	75667521	bulk_0clone0_07clone1_03normal	1|1	0.301409	2|2	0	2|2	0.698591
chr1	75667521	116959941	bulk_06clone0_03clone1_01normal	1|1	0.101166	2|1	0.599819	2|1	0.299015
chr1	75667521	116959941	bulk_09clone0_0clone1_01normal	1|1	0.101862	2|1	0.898138	2|1	0
chr1	75667521	116959941	bulk_0clone0_07clone1_03normal	1|1	0.301409	2|1	0	2|1	0.698591
chr1	116959941	121500001	bulk_06clone0_03clone1_01normal	1|1	0.101166	2|0	0.599819	0|2	0.299015
chr1	116959941	121500001	bulk_09clone0_0clone1_01normal	1|1	0.101862	2|0	0.898138	0|2	0
chr1	116959941	121500001	bulk_0clone0_07clone1_03normal	1|1	0.301409	2|0	0	0|2	0.698591
chr1	128900000	158657572	bulk_06clone0_03clone1_01normal	1|1	0.101166	4|3	0.599819	4|3	0.299015
chr1	128900000	158657572	bulk_09clone0_0clone1_01normal	1|1	0.101862	4|3	0.898138	4|3	0
